NVIDIA H100 80GB HBM3, 580.159.04, 81559 MiB
torch 2.13.0+cu130 cuda True
CMD: python scripts/train_transition.py --data data/pilot1b --contact-mode none --out runs/expA_pilot_state_only --steps 30000 --eval-every 10000 --workers 2 --eval-contact-sources gt
loaded split train: 1189 episodes in 86.2s
loaded split val: 255 episodes in 18.7s
loaded split test: 255 episodes in 4.4s
loaded split test_geometry: 301 episodes in 1.8s
transition model contact_mode=none params=618630
step 29200 loss 0.40730 (1-step 0.40730) 236s
step 29300 loss 0.52774 (1-step 0.52774) 236s
step 29400 loss 0.66491 (1-step 0.66491) 237s
step 29500 loss 0.55291 (1-step 0.55291) 238s
step 29600 loss 0.60293 (1-step 0.60293) 239s
step 29700 loss 0.55804 (1-step 0.55804) 240s
step 29800 loss 0.60689 (1-step 0.60689) 241s
step 29900 loss 0.54006 (1-step 0.54006) 241s
step 30000 loss 0.57192 (1-step 0.57192) 242s
  [val one-step] dv_err_mean=0.01926 dw_err_mean=0.2782 dv_err_far_free=0.003284 dw_err_far_free=0.02563 dv_err_near_contact=0.03903 dw_err_near_contact=0.3607 dv_err_first_impact=0.6907 dw_err_first_impact=7.371 dv_err_contact=0.01229 dw_err_contact=0.2134 dv_err_rebound_repeat=0.2087 dw_err_rebound_repeat=4.065 dv_err_resting=0.004389 dw_err_resting=0.1073
[rollout val/gt] pos_err@100=0.003645 pos_err@500=0.1135 pos_err_final=0.3134 rot_err_deg_final=128.4 v_err_mean=0.5171 w_err_mean=5.291 impact_dv_err=3.224 impact_dw_err=18.51 apex_err=0.05165 max_penetration_pred=0.07325 artificial_energy_max=0
[rollout test/gt] pos_err@100=0.006246 pos_err@500=0.1149 pos_err_final=0.3384 rot_err_deg_final=114.8 v_err_mean=0.5567 w_err_mean=4.696 impact_dv_err=3.335 impact_dw_err=15.96 apex_err=0.05319 max_penetration_pred=0.07123 artificial_energy_max=0
[rollout test_geometry/gt] pos_err@100=0.00517 pos_err@500=0.1201 pos_err_final=0.2595 rot_err_deg_final=110.7 v_err_mean=0.4779 w_err_mean=4.623 impact_dv_err=3.343 impact_dw_err=20.62 apex_err=0.04833 max_penetration_pred=0.0554 artificial_energy_max=0
TRAIN_DONE
